filename,m,n,num_cell_clusters,num_mutation_clusters,num_variables,num_clauses,formula_gen_time,unigen_time,num_samples
m5_n5_s10_k1_loss0.1_a0.001_b0.2.B,5,5,2,2,252,31447,0.20276927947998047,0.10318422317504883,-1
m5_n5_s10_k1_loss0.2_a0.001_b0.2.B,5,5,2,2,252,31447,0.20820236206054688,0.09624791145324707,-1
m5_n5_s10_k1_loss0.4_a0.001_b0.2.B,5,5,2,2,252,31447,0.20374393463134766,0.10648727416992188,-1
m5_n5_s1_k1_loss0.1_a0.001_b0.2.B,5,5,4,3,249,31467,0.20651721954345703,2.0563101768493652,108
m5_n5_s1_k1_loss0.2_a0.001_b0.2.B,5,5,4,3,249,31467,0.2146434783935547,2.013796329498291,105
m5_n5_s1_k1_loss0.4_a0.001_b0.2.B,5,5,4,3,249,31467,0.21370387077331543,1.9169797897338867,108
m5_n5_s2_k1_loss0.1_a0.001_b0.2.B,5,5,3,4,222,31388,0.20511126518249512,0.21580910682678223,83
m5_n5_s2_k1_loss0.2_a0.001_b0.2.B,5,5,3,4,233,31418,0.20043301582336426,0.734935998916626,94
m5_n5_s2_k1_loss0.4_a0.001_b0.2.B,5,5,3,4,233,31418,0.2040243148803711,0.7416160106658936,99
m5_n5_s3_k1_loss0.1_a0.001_b0.2.B,5,5,3,3,251,31442,0.2037830352783203,0.8975865840911865,90
m5_n5_s3_k1_loss0.2_a0.001_b0.2.B,5,5,3,3,251,31442,0.20313525199890137,0.8574128150939941,88
m5_n5_s3_k1_loss0.4_a0.001_b0.2.B,5,5,3,3,251,31442,0.20663928985595703,0.8804712295532227,96
m5_n5_s4_k1_loss0.1_a0.001_b0.2.B,5,5,4,3,235,31423,0.20666027069091797,1.028982162475586,105
m5_n5_s4_k1_loss0.2_a0.001_b0.2.B,5,5,4,3,235,31423,0.2023622989654541,1.0134913921356201,106
m5_n5_s4_k1_loss0.4_a0.001_b0.2.B,5,5,4,3,235,31423,0.19872307777404785,1.0513081550598145,108
